number,name,status
PEP 212 – Loop Counter Iteration,PEP 212 – Loop Counter Iteration,Rejected
PEP 210 – Decoupling the Interpreter Loop,PEP 210 – Decoupling the Interpreter Loop,Rejected
PEP 209 – Multi-dimensional Arrays,PEP 209 – Multi-dimensional Arrays,Withdrawn
PEP 208 – Reworking the Coercion Model,PEP 208 – Reworking the Coercion Model,Final
PEP 207 – Rich Comparisons,PEP 207 – Rich Comparisons,Final
PEP 205 – Weak References,PEP 205 – Weak References,Final
PEP 206 – Python Advanced Library,PEP 206 – Python Advanced Library,Withdrawn
PEP 203 – Augmented Assignments,PEP 203 – Augmented Assignments,Final
PEP 204 – Range Literals,PEP 204 – Range Literals,Rejected
PEP 202 – List Comprehensions,PEP 202 – List Comprehensions,Final
PEP 6 – Bug Fix Releases,PEP 6 – Bug Fix Releases,Active
PEP 201 – Lockstep Iteration,PEP 201 – Lockstep Iteration,Final
PEP 5 – Guidelines for Language Evolution,PEP 5 – Guidelines for Language Evolution,Active
PEP 4 – Deprecation of Standard Modules,PEP 4 – Deprecation of Standard Modules,Active
PEP 3 – Guidelines for Handling Bug Reports,PEP 3 – Guidelines for Handling Bug Reports,Withdrawn
PEP 2 – Procedure for Adding New Modules,PEP 2 – Procedure for Adding New Modules,Active
